8,4135,278.31,7691.3,29998,680.65,288.67
9,2064.9,5.9767,2104.1,24898,58.273,983.54
10,2642,287.11,33801,34995,972.78,829.48
11,2243.8,180.57,16115,34922,171.18,498.74
12,1623.7,69.653,54929,32283,513.27,95.326
13,951.47,9.3919,50667,25161,102.02,716.78
14,1168.3,390.51,48014,24253,262.53,140.81
15,1277.5,399.1,52627,28645,341.11,693.53
16,1228.7,205.7,47820,28658,159.87,350.15
17,1224.9,14.807,19257,29920,362.64,14.22
18,1268.2,106.09,18584,27634,155.84,224.22
19,582.66,375.09,15929,22896,579.83,316.98
20,333.94,60.259,40529,10175,669.03,314.48
21,878.21,178.1,5396.7,15008,411.63,169.98
22,1639.8,255.57,49278,29044,391.3,82.885
23,1540.2,127.89,13902,28329,210.27,434.98
24,651.67,2.8418,14162,9141.4,43.4,283.63
25,875.16,185.39,6238.5,29837,122.38,989.56
26,2217.7,47.551,49603,29864,390.49,520.49
27,1932.9,0.87444,21461,25449,544.11,278.45
28,1609,10.295,31284,27044,135.73,432.87
29,2080.4,6.4948,10943,27337,276.03,462.85
30,2700.5,12.799,1170.6,32477,573.36,434.42
31,1664.5,0.90451,5051.3,23949,117.99,672.28
32,3936.3,91.149,8262.9,120.73,530.45,832.18
33,1938.4,16.936,4416.2,27748,338.37,673.76
34,2278.9,10.448,12117,34953,499.78,108.56
35,2199,5.7,584.76,32777,362.86,21.054
36,1358.2,84.738,32692,29884,92.768,988.45
